ID_Iteration	Best_Quality	Average_Quality	Distance_Total	Population_Quantity	Building_Quantity
1	0.00031500301503742476	0.0003022042961249409	169932.71000000002	13387.31	49
2	0.0003151196574318216	0.0003004075697373222	185502.36	14112.09	49
3	0.00031866769436004805	0.00029860083062561017	183847.66999999995	13387.31	49
4	0.00031569094363126534	0.0002985425204091142	166544.24	14112.09	49
5	0.0003174748738812664	0.00029983865216313813	168060.11	14112.09	49
6	0.00031444126916687926	0.00030066920254788335	195419.80999999994	13387.31	49
7	0.0003140288541830434	0.000299040661783685	199845.81999999998	13387.31	49
8	0.0003169496734631108	0.00030127063189212496	184467.62999999998	14112.09	49
9	0.000321538669035629	0.0003021396185441929	169165.34	13387.31	49
10	0.00031616908101802767	0.0002995748983690287	180590.36000000002	13387.31	49
