."ORI_ID"	"DEST_ID"	"TOTAL_METE"	"NSA"
5787	296	1371.93	39.99
5787	297	2343.12	39.99
5787	298	4220.27	39.99
5787	299	6281.83	39.99
5787	300	2111.95	39.99
5787	301	1965.92	39.99
5787	302	8522.05	39.99
5787	303	8418.51	39.99
5787	304	7105.97	39.99
5787	305	8509.58	39.99
5787	306	3428.72	39.99
5787	307	3172.86	39.99
5787	308	3222.81	39.99
5787	309	5306.89	39.99
4484	290	1809.70	40.10
4484	291	3507.35	40.10
4484	292	1665.66	40.10
4484	293	2199.38	40.10
4484	294	984.51	40.10
4484	295	1309.18	40.10
4484	296	2817.12	40.10
4484	297	3285.03	40.10
4484	298	4952.17	40.10
4484	299	6799.23	40.10
4484	300	2875.58	40.10
4484	301	1023.14	40.10
4484	302	7256.53	40.10
4484	303	7153.00	40.10
4484	304	5867.65	40.10
4484	305	7244.06	40.10
4484	306	1542.15	40.10
4484	307	855.40	40.10
4484	308	1336.24	40.10
4484	309	3758.65	40.10
54323	290	3371.93	41.02
54323	291	4470.75	41.02
54323	292	1139.26	41.02
54323	293	1483.59	41.02
54323	294	1665.41	41.02
54323	295	2138.90	41.02
54323	296	3693.16	41.02
54323	297	3997.06	41.02
54323	298	4419.53	41.02
54323	299	6266.59	41.02
54323	300	3213.81	41.02
54323	301	1704.05	41.02
54323	302	8818.76	41.02
54323	303	8715.22	41.02
54323	304	7427.38	41.02
54323	305	8806.29	41.02
54323	306	3104.37	41.02
54323	307	1838.99	41.02
54323	308	2898.47	41.02
54323	309	5320.87	41.02
38453	290	4704.93	48.35
38453	291	3829.43	48.35
38453	292	2158.29	48.35
38453	293	2094.35	48.35
38453	294	2051.74	48.35
38453	295	1833.89	48.35
38453	296	2244.21	48.35
38453	297	1653.57	48.35
38453	298	2594.42	48.35
38453	299	4441.48	48.35
38453	300	870.33	48.35
38453	301	1991.97	48.35
38453	302	10109.98	48.35
38453	303	10006.44	48.35
38453	304	8684.76	48.35
38453	305	10097.51	48.35
38453	306	4437.38	48.35
38453	307	3644.33	48.35
38453	308	4231.47	48.35
38453	309	6646.03	48.35
3677	290	2845.48	48.63
3677	291	3381.83	48.63
3677	292	705.19	48.63
3677	293	1238.91	48.63
3677	294	576.50	48.63
3677	295	1049.99	48.63
3677	296	2604.25	48.63
3677	297	3072.16	48.63
3677	298	4306.52	48.63
3677	299	6153.58	48.63
3677	300	2696.81	48.63
3677	301	615.14	48.63
3677	302	8282.67	48.63
3677	303	8179.14	48.63
3677	304	6857.46	48.63
3677	305	8270.20	48.63
3677	306	2577.92	48.63
3677	307	1489.54	48.63
3677	308	2372.01	48.63
3677	309	4794.42	48.63
54326	290	4547.21	56.75
54326	291	3940.06	56.75
54326	292	2000.56	56.75
54326	293	1824.63	56.75
54326	294	1894.02	56.75
54326	295	1676.16	56.75
54326	296	2364.88	56.75
54326	297	1790.30	56.75
54326	298	2574.43	56.75
54326	299	4421.49	56.75
54326	300	1007.06	56.75
54326	301	1834.25	56.75
54326	302	9952.25	56.75
54326	303	9848.72	56.75
54326	304	8527.04	56.75
54326	305	9939.78	56.75
54326	306	4279.65	56.75
54326	307	3486.61	56.75
54326	308	4073.74	56.75
54326	309	6488.31	56.75
54104	290	2478.27	56.88
54104	291	2967.25	56.88
54104	292	1224.79	56.88
54104	293	1758.51	56.88
54104	294	369.40	56.88
54104	295	635.41	56.88
54104	296	2189.67	56.88
54104	297	2657.58	56.88
54104	298	4278.40	56.88
54104	299	6125.46	56.88
54104	300	2282.23	56.88
54104	301	408.03	56.88
54104	302	7893.15	56.88
54104	303	7789.62	56.88
54104	304	6467.93	56.88
54104	305	7880.68	56.88
54104	306	2210.71	56.88
54104	307	1431.89	56.88
54104	308	2004.80	56.88
54104	309	4427.21	56.88
3642	290	4930.23	56.90
3642	291	6378.43	56.90
3642	292	2935.59	56.90
3642	293	3051.68	56.90
3642	294	3573.10	56.90
3642	295	4046.58	56.90
3642	296	5600.85	56.90
3642	297	5381.46	56.90
3642	298	4454.78	56.90
3642	299	6220.32	56.90
3642	300	4598.22	56.90
3642	301	3611.73	56.90
3642	302	10403.86	56.90
3642	303	10300.32	56.90
3642	304	8978.64	56.90
3642	305	10391.39	56.90
3642	306	4662.68	56.90
3642	307	3390.25	56.90
3642	308	4456.77	56.90
3642	309	6938.71	56.90
36307	290	5320.28	57.73
36307	291	3956.91	57.73
36307	292	2753.76	57.73
36307	293	2346.67	57.73
36307	294	2711.93	57.73
36307	295	2462.67	57.73
36307	296	2157.35	57.73
36307	297	1522.71	57.73
36307	298	1581.05	57.73
36307	299	3428.10	57.73
36307	300	861.32	57.73
36307	301	2652.16	57.73
36307	302	10694.90	57.73
36307	303	10591.36	57.73
36307	304	9300.11	57.73
36307	305	10682.42	57.73
36307	306	5052.73	57.73
36307	307	4304.51	57.73
36307	308	4846.82	57.73
36307	309	7272.67	57.73
2756	290	4457.31	59.64
2756	291	1650.29	59.64
2756	292	3133.04	59.64
2756	293	3666.76	59.64
2756	294	2277.64	59.64
2756	295	1939.16	59.64
2756	296	459.36	59.64
2756	297	1689.49	59.64
2756	298	3416.80	59.64
2756	299	5572.77	59.64
2756	300	1613.94	59.64
2756	301	2316.28	59.64
